Date,Open,High,Low,Close,Range
,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,
2021-12-20,35123.94520596271,35230.693970963104,34018.05565648867,34439.453125,1212.6383144744323
2021-12-21,34862.94624835966,35049.59251592339,34389.54940828774,34607.44921875,660.0431076356472
2021-12-22,34864.845654867684,35111.694354539286,34687.19927762198,35029.09375,424.4950769173083
2021-12-23,35350.08798649207,35476.88728986667,35045.84153255535,35190.73828125,431.04575731131627
2021-12-24,35281.788013753845,35327.53748054931,34582.99537684798,34856.64453125,744.5421037013293
2021-12-27,34573.24779897619,35143.291974492815,34232.60330890128,35057.4921875,910.6886655915368
2021-12-28,35307.889173637384,35351.98631581759,35037.4899821111,35183.390625,314.4963337064837
2021-12-29,35168.44388141819,35377.890672210495,34890.39632336253,35044.9921875,487.4943488479621
2021-12-30,34977.24318336054,35178.643193645104,34750.847368932926,35063.1953125,427.7958247121787
2021-12-31,35113.988661307674,35596.53381131151,35113.34023137478,35481.28515625,483.1935799367275
2022-01-03,35584.78703524051,36491.67887433692,35526.1900577274,36421.4765625,965.4888166095188
2022-01-04,36550.823682085975,36887.37053795375,36373.97418230583,36839.71875,513.3963556479212
2022-01-05,36943.1220130249,37861.9590050948,36755.92496691599,37695.4609375,1106.034038178812
2022-01-06,37242.116171825764,37752.05943962096,37058.01675773592,37489.8125,694.0426818850465
2022-01-07,37666.61412230199,38134.40948052595,37427.36689583087,37739.1640625,707.042584695082
2022-01-10,37930.11031517277,38399.90564089146,37928.91111034862,38347.453125,470.99453054284095
2022-01-11,38369.55552385211,38504.15552713439,38031.309442123085,38441.75390625,472.84608501130424
2022-01-12,38719.15243595666,38850.9985628448,38604.15376989478,38727.1015625,246.84479295001802
2022-01-13,38717.10260261493,38717.10260261493,38375.704210799726,38469.50390625,341.39839181520074
2022-01-14,38301.9070397266,38447.60456754593,38007.3088962622,38369.953125,440.2956712837331
2022-01-17,38212.10551067158,38617.0500107632,38137.80559520916,38215.703125,479.24441555404337
2022-01-18,38336.9516437718,38855.09794884346,38094.95446410095,38209.85546875,760.1434847425116
2022-01-19,38145.307382380764,38330.055238666064,37768.81175103346,38040.91015625,561.2434876326006
2022-01-20,38105.657179594506,38167.5041145941,37591.41317663697,37850.41015625,576.0909379571312
2022-01-21,37521.91466737574,37740.56055902154,37223.816575850076,37573.86328125,516.7439831714655
2022-01-24,37601.511920817844,37694.26084216676,36374.928529483084,36947.12109375,1319.3323126836767
2022-01-25,36597.62614515124,37788.36232923964,36415.17904330427,37706.3125,1373.1832859353672
2022-01-27,37057.76854956436,38147.20510735895,37011.819864809884,37981.66015625,1135.3852425490622
2022-01-28,38246.157594464494,38421.253218174104,37581.06375248925,37688.9609375,840.1894656848526
